# Final state angular momentum:   1
# Broadening parameter (in eV):    0.890
# Absorbing atom type (xiabs):   3
# Energy (eV)   sigma
  -15.00000000    0.00002139
  -14.78696742    0.00002164
  -14.57393484    0.00002189
  -14.36090226    0.00002214
  -14.14786967    0.00002241
  -13.93483709    0.00002267
  -13.72180451    0.00002295
  -13.50877193    0.00002323
  -13.29573935    0.00002352
  -13.08270677    0.00002381
  -12.86967419    0.00002411
  -12.65664160    0.00002442
  -12.44360902    0.00002474
  -12.23057644    0.00002506
  -12.01754386    0.00002540
  -11.80451128    0.00002574
  -11.59147870    0.00002609
  -11.37844612    0.00002645
  -11.16541353    0.00002681
  -10.95238095    0.00002719
  -10.73934837    0.00002758
  -10.52631579    0.00002798
  -10.31328321    0.00002839
  -10.10025063    0.00002882
   -9.88721805    0.00002925
   -9.67418546    0.00002970
   -9.46115288    0.00003016
   -9.24812030    0.00003064
   -9.03508772    0.00003113
   -8.82205514    0.00003164
   -8.60902256    0.00003216
   -8.39598997    0.00003271
   -8.18295739    0.00003327
   -7.96992481    0.00003384
   -7.75689223    0.00003444
   -7.54385965    0.00003507
   -7.33082707    0.00003571
   -7.11779449    0.00003638
   -6.90476190    0.00003707
   -6.69172932    0.00003780
   -6.47869674    0.00003855
   -6.26566416    0.00003933
   -6.05263158    0.00004015
   -5.83959900    0.00004100
   -5.62656642    0.00004190
   -5.41353383    0.00004283
   -5.20050125    0.00004381
   -4.98746867    0.00004484
   -4.77443609    0.00004592
   -4.56140351    0.00004707
   -4.34837093    0.00004827
   -4.13533835    0.00004955
   -3.92230576    0.00005090
   -3.70927318    0.00005235
   -3.49624060    0.00005389
   -3.28320802    0.00005554
   -3.07017544    0.00005731
   -2.85714286    0.00005923
   -2.64411028    0.00006131
   -2.43107769    0.00006358
   -2.21804511    0.00006608
   -2.00501253    0.00006884
   -1.79197995    0.00007193
   -1.57894737    0.00007543
   -1.36591479    0.00007942
   -1.15288221    0.00008404
   -0.93984962    0.00008947
   -0.72681704    0.00009592
   -0.51378446    0.00010365
   -0.30075188    0.00011287
   -0.08771930    0.00012335
    0.12531328    0.00013554
    0.33834586    0.00014820
    0.55137845    0.00016068
    0.76441103    0.00017248
    0.97744361    0.00018381
    1.19047619    0.00019559
    1.40350877    0.00020857
    1.61654135    0.00022265
    1.82957393    0.00023707
    2.04260652    0.00025130
    2.25563910    0.00026572
    2.46867168    0.00028138
    2.68170426    0.00029914
    2.89473684    0.00031935
    3.10776942    0.00034208
    3.32080201    0.00036689
    3.53383459    0.00039209
    3.74686717    0.00041501
    3.95989975    0.00043420
    4.17293233    0.00045120
    4.38596491    0.00046954
    4.59899749    0.00049210
    4.81203008    0.00051938
    5.02506266    0.00054994
    5.23809524    0.00058249
    5.45112782    0.00061766
    5.66416040    0.00065724
    5.87719298    0.00070203
    6.09022556    0.00075172
    6.30325815    0.00080602
    6.51629073    0.00086377
    6.72932331    0.00092072
    6.94235589    0.00097108
    7.15538847    0.00101204
    7.36842105    0.00104512
    7.58145363    0.00107322
    7.79448622    0.00109834
    8.00751880    0.00112148
    8.22055138    0.00114279
    8.43358396    0.00116118
    8.64661654    0.00117419
    8.85964912    0.00117819
    9.07268170    0.00116996
    9.28571429    0.00115016
    9.49874687    0.00112496
    9.71177945    0.00110282
    9.92481203    0.00108962
   10.13784461    0.00108641
   10.35087719    0.00109043
   10.56390977    0.00109793
   10.77694236    0.00110730
   10.98997494    0.00112081
   11.20300752    0.00114398
   11.41604010    0.00118266
   11.62907268    0.00123952
   11.84210526    0.00131162
   12.05513784    0.00138985
   12.26817043    0.00146120
   12.48120301    0.00151396
   12.69423559    0.00154328
   12.90726817    0.00155194
   13.12030075    0.00154615
   13.33333333    0.00153195
   13.54636591    0.00151585
   13.75939850    0.00150560
   13.97243108    0.00150778
   14.18546366    0.00152564
   14.39849624    0.00155965
   14.61152882    0.00160946
   14.82456140    0.00167480
   15.03759398    0.00175553
   15.25062657    0.00185183
   15.46365915    0.00196402
   15.67669173    0.00209170
   15.88972431    0.00223381
   16.10275689    0.00239063
